data_extracao;categoria;cod_logradouro;dias_coleta;impar_fim;impar_ini;lado;nome_logradouro;par_fim;par_ini;area
2019-11-21;TRAV ;8577645;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 18H;115;1;;A AV IPE                             ;114;2;IN
2019-11-21;BC   ;7866395;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 8H;149;1;;A AV TRAMANDAI                       ;170;2;ID
2019-11-21;AC   ;8083248;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 8H;145;81;;A DOIS HUMAITA NAVEGANTES            ;146;82;ID
2019-11-21;BC   ;8576845;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;53;1;;A E VILA BOM JESUS                   ;54;2;PD
2019-11-21;AV   ;8081234;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 18H;555;545;;A J RENNER                           ;562;556;IN
2019-11-21;AV   ;8081234;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 18H;605;587;;A J RENNER                           ;642;630;IN
2019-11-21;AV   ;8081234;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 18H;1721;1633;;A J RENNER                           ;1860;1774;IN
2019-11-21;AV   ;8081234;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 18H;2153;1795;;A J RENNER                           ;2130;1970;IN
2019-11-21;AV   ;8081234;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 18H;2235;2185;;A J RENNER                           ;2266;2182;IN
2019-11-21;AV   ;8081234;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 18H;361;285;;A J RENNER                           ;300;260;PN
2019-11-21;AV   ;8081234;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 18H;525;451;;A J RENNER                           ;540;470;PN
2019-11-21;R    ;9356001;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 8H;545;417;;A LOT JARDIM FLORESTA                ;544;410;ID
2019-11-21;BC   ;8576720;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 18H;29;1;;A RUA BARAO DE BAGE                  ;30;2;IN
2019-11-21;BC   ;7570179;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;9;1;;A RUA BORORO                         ;10;2;PD
2019-11-21;R    ;8879012;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 8H;45;1;;A RUA INACIO KOHLER                  ;46;2;ID
2019-11-21;BC   ;8663809;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;35;1;;A RUA TOBAGO                         ;36;2;PD
2019-11-21;BC   ;9080680;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 8H;49;1;;A RUA VICENTA MARIA                  ;50;2;ID
2019-11-21;AC   ;8665028;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;29;1;;A SQ DOIS TERCEIRA UV VL N RESTINGA  ;28;2;PD
2019-11-21;AC   ;8664781;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;39;1;;A SQ QUATRO PRIMEIRA UV VL N RESTINGA;38;2;PD
2019-11-21;AC   ;8665010;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;47;1;;A SQ QUATRO TERCEIRA UV VL N RESTINGA;46;2;PD
2019-11-21;AC   ;8083255;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 8H;59;1;;A TRES HUMAITA NAVEGANTES            ;60;2;ID
2019-11-21;AC   ;8877013;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 8H;85;1;;A UM CHACARA DA FUMACA               ;86;2;ID
2019-11-21;R    ;8880047;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 8H;317;217;;A VILA AMAZONIA                      ;390;252;ID
2019-11-21;R    ;8880047;TERÇAS, QUINTAS E SÁBADOS A PARTIR DAS 8H;505;383;;A VILA AMAZONIA                      ;506;402;ID
2019-11-21;TRAV ;7871395;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;193;165;;A VILA CRUZEIRO DO SUL               ;180;150;PD
2019-11-21;TRAV ;7871395;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;259;237;;A VILA CRUZEIRO DO SUL               ;268;226;PD
2019-11-21;TRAV ;7871395;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;427;367;;A VILA CRUZEIRO DO SUL               ;430;352;PD
2019-11-21;R    ;8576415;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;165;91;;A VILA FATIMA-PINTO                  ;160;62;PD
2019-11-21;R    ;8576415;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;433;399;;A VILA FATIMA-PINTO                  ;390;342;PD
2019-11-21;R    ;8476269;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;445;423;;A VILA N S FATIMA-DIVINEIA           ;432;412;PD
2019-11-21;R    ;8476269;SEGUNDAS, QUARTAS E SEXTAS-FEIRAS A PARTIR DAS 8H;621;553;;A VILA N S FATIMA-DIVINEIA           ;620;556;PD
