data_extracao;categoria;cod_logradouro;dias_coleta;impar_fim;impar_ini;lado;nome_logradouro;par_fim;par_ini;area
2019-12-06;TRAV;8576795;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;77;1;;A AV SARGENTO MANOEL RAYMUNDO SOARES;76;2;BD35
2019-12-06;R;8065211;SEGUNDAS E SEXTAS A PARTIR DAS 8 HORAS;59;1;;A AV VER ROBERTO LANDELL DE MOURA;60;2;BD26
2019-12-06;AC;8083248;SEGUNDAS E SEXTAS A PARTIR DAS 8 HORAS;79;35;;A DOIS HUMAITA NAVEGANTES;80;36;BD26
2019-12-06;AC;8663726;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;37;1;;A DOIS NUCLEO ESPERANCA;54;2;BD35
2019-12-06;BC;8576977;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;21;1;;A H VILA BOM JESUS;22;2;BD35
2019-12-06;R;7881014;SEGUNDAS E SEXTAS A PARTIR DAS 8 HORAS;325;27;;A ILHA DO PAVAO;1000;28;BD26
2019-12-06;PSG;8763047;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;107;1;;A NUCLEO ESPERANCA;108;2;BD35
2019-12-06;AC;7870082;TERÇAS E SÁBADOS A PARTIR DAS 8 HORAS;103;1;;A PARQUE MADEPINHO;102;2;BD37
2019-12-06;R;9065020;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;77;31;;A PORTAL DA FIGUEIRA;76;30;BD35
2019-12-06;BC;8969289;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;81;75;;A RUA CONDE DE BONFIM;82;76;BD35
2019-12-06;BC;8373680;TERÇAS E SÁBADOS A PARTIR DAS 8 HORAS;43;1;;A RUA CONDOR;44;2;BD37
2019-12-06;BC;8476582;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;37;1;;A RUA PANAMA;38;2;BD35
2019-12-06;AC;8664666;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;51;1;;A SQ DOIS SEGUNDA UV VL N RESTINGA;50;2;BD35
2019-12-06;AC;8664666;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;115;95;;A SQ DOIS SEGUNDA UV VL N RESTINGA;114;94;BD35
2019-12-06;AC;8663197;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;67;43;;A SQ TRES SEGUNDA UV VL N RESTINGA;68;44;BD35
2019-12-06;R;8880047;QUARTAS E SEXTAS A PARTIR DAS 8 HORAS;147;123;;A VILA AMAZONIA;146;122;BD46
2019-12-06;R;8880047;QUARTAS E SEXTAS A PARTIR DAS 8 HORAS;257;183;;A VILA AMAZONIA;258;184;BD46
2019-12-06;R;8665325;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;233;203;;A VILA BITA;234;204;BD35
2019-12-06;R;8665325;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;305;275;;A VILA BITA;306;276;BD35
2019-12-06;BC;8674137;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;65;1;;A VILA BOA VISTA;64;2;BD35
2019-12-06;TRAV;7871395;QUINTAS E SÁBADOS A PARTIR DAS 8 HORAS;195;147;;A VILA CRUZEIRO DO SUL;196;148;BD57
2019-12-06;TRAV;7871395;QUINTAS E SÁBADOS A PARTIR DAS 8 HORAS;235;213;;A VILA CRUZEIRO DO SUL;236;214;BD57
2019-12-06;R;8576415;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;51;1;;A VILA FATIMA-PINTO;52;2;BD35
2019-12-06;R;8576415;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;137;53;;A VILA FATIMA-PINTO;136;62;BD35
2019-12-06;BC;7670383;QUINTAS E SÁBADOS A PARTIR DAS 8 HORAS;617;1;;A VILA NOSSA SENHORA DAS GRACAS;618;2;BD57
2019-12-06;R;8663619;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;91;1;;A VILA NOVA SANTA RITA;90;2;BD35
2019-12-06;R;8775041;QUARTAS E SEXTAS A PARTIR DAS 8 HORAS;29;1;;A VILA NOVA TIJUCA;28;2;BD46
2019-12-06;R;8969073;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;81;55;;A VILA SAO CARLOS;82;56;BD35
2019-12-06;BC;8670135;TERÇAS E QUINTAS A PARTIR DAS 8 HORAS;67;1;;A VILA SAO FRANCISCO;68;2;BD35
2019-12-06;R;8882102;QUARTAS E SEXTAS A PARTIR DAS 8 HORAS;453;335;;A VILA SENHOR DO BOM FIM;460;354;BD46
2019-12-06;R;8082190;SEGUNDAS E SEXTAS A PARTIR DAS 8 HORAS;57;1;;A VILA TIO ZECA;56;2;BD26
